Date,구장,원정팀,원정팀점수,홈팀점수,홈팀,원정팀결과,홈팀결과,비고
2012-04-01 13:00,사직,SK,9,2,롯데,승,패,시범경기
2012-04-07 13:55,사직,한화,1,4,롯데,패,승,정규시즌
2012-04-08 14:00,사직,한화,5,10,롯데,패,승,정규시즌
2012-04-13 18:30,사직,두산,6,1,롯데,승,패,정규시즌
2012-04-14 17:00,사직,두산,3,3,롯데,무,무,정규시즌
2012-04-15 14:00,사직,두산,0,5,롯데,패,승,정규시즌
2012-04-17 18:30,사직,SK,2,3,롯데,패,승,정규시즌
2012-04-18 18:30,사직,SK,8,2,롯데,승,패,정규시즌
2012-04-19 18:30,사직,SK,3,6,롯데,패,승,정규시즌
2012-04-27 18:30,사직,LG,20,8,롯데,승,패,정규시즌
2012-04-28 17:00,사직,LG,3,5,롯데,패,승,정규시즌
2012-04-29 14:00,사직,LG,0,5,롯데,패,승,정규시즌
2012-05-08 18:30,사직,삼성,2,1,롯데,승,패,정규시즌
2012-05-09 18:30,사직,삼성,3,0,롯데,승,패,정규시즌
2012-05-10 18:30,사직,삼성,2,2,롯데,무,무,정규시즌
2012-05-15 18:30,사직,넥센,9,2,롯데,승,패,정규시즌
2012-05-16 18:30,사직,넥센,8,0,롯데,승,패,정규시즌
2012-05-17 18:30,사직,넥센,9,1,롯데,승,패,정규시즌
2012-05-18 18:30,사직,기아,4,5,롯데,패,승,정규시즌
2012-05-19 17:00,사직,기아,1,6,롯데,패,승,정규시즌
2012-05-20 17:00,사직,기아,4,6,롯데,패,승,정규시즌
2012-05-29 18:30,사직,LG,5,3,롯데,승,패,정규시즌
2012-05-30 18:30,사직,LG,2,3,롯데,패,승,정규시즌
2012-05-31 18:30,사직,LG,3,1,롯데,승,패,정규시즌
2012-06-01 18:30,사직,넥센,3,7,롯데,패,승,정규시즌
2012-06-02 17:00,사직,넥센,0,8,롯데,패,승,정규시즌
2012-06-03 17:00,사직,넥센,4,3,롯데,승,패,정규시즌
2012-06-09 17:00,사직,기아,4,3,롯데,승,패,정규시즌
2012-06-10 17:00,사직,기아,3,6,롯데,패,승,정규시즌
2012-06-12 18:30,사직,두산,3,4,롯데,패,승,정규시즌
2012-06-13 18:30,사직,두산,7,1,롯데,승,패,정규시즌
2012-06-14 18:30,사직,두산,8,7,롯데,승,패,정규시즌
2012-06-26 18:30,사직,한화,0,3,롯데,패,승,정규시즌
2012-06-27 18:30,사직,한화,2,9,롯데,패,승,정규시즌
2012-06-28 18:30,사직,한화,2,5,롯데,패,승,정규시즌
2012-07-03 18:30,사직,SK,4,6,롯데,패,승,정규시즌
2012-07-04 18:30,사직,SK,3,5,롯데,패,승,정규시즌
2012-07-07 17:00,사직,삼성,0,7,롯데,패,승,정규시즌
2012-07-08 17:00,사직,삼성,7,2,롯데,승,패,정규시즌
2012-07-13 18:30,사직,한화,1,1,롯데,무,무,정규시즌
2012-07-31 18:30,사직,기아,4,5,롯데,패,승,정규시즌
2012-08-01 18:30,사직,기아,13,4,롯데,승,패,정규시즌
2012-08-02 18:30,사직,기아,4,3,롯데,승,패,정규시즌
2012-08-03 18:30,사직,삼성,3,4,롯데,패,승,정규시즌
2012-08-04 17:00,사직,삼성,6,1,롯데,승,패,정규시즌
2012-08-05 17:00,사직,삼성,0,1,롯데,패,승,정규시즌
2012-08-14 18:30,사직,SK,2,5,롯데,패,승,정규시즌
2012-08-15 17:00,사직,SK,3,2,롯데,승,패,정규시즌
