Date,구장,원정팀,원정팀점수,홈팀점수,홈팀,원정팀결과,홈팀결과,비고
2012-04-27 18:30,사직,LG,20,8,롯데,승,패,정규시즌
2012-04-28 17:00,사직,LG,3,5,롯데,패,승,정규시즌
2012-04-29 14:00,사직,LG,0,5,롯데,패,승,정규시즌
2012-05-01 18:30,목동,롯데,11,1,넥센,승,패,정규시즌
2012-05-02 18:30,목동,롯데,4,6,넥센,패,승,정규시즌
2012-05-03 18:30,목동,롯데,4,2,넥센,승,패,정규시즌
2012-05-04 18:30,문학,롯데,3,5,SK,패,승,정규시즌
2012-05-05 13:50,문학,롯데,3,1,SK,승,패,정규시즌
2012-05-06 14:00,문학,롯데,3,5,SK,패,승,정규시즌
2012-05-08 18:30,사직,삼성,2,1,롯데,승,패,정규시즌
2012-05-09 18:30,사직,삼성,3,0,롯데,승,패,정규시즌
2012-05-10 18:30,사직,삼성,2,2,롯데,무,무,정규시즌
2012-05-11 18:30,청주,롯데,9,15,한화,패,승,정규시즌
2012-05-12 17:00,대전,롯데,6,4,한화,승,패,정규시즌
2012-05-13 17:00,대전,롯데,1,7,한화,패,승,정규시즌
2012-05-15 18:30,사직,넥센,9,2,롯데,승,패,정규시즌
2012-05-16 18:30,사직,넥센,8,0,롯데,승,패,정규시즌
2012-05-17 18:30,사직,넥센,9,1,롯데,승,패,정규시즌
2012-05-18 18:30,사직,기아,4,5,롯데,패,승,정규시즌
2012-05-19 17:00,사직,기아,1,6,롯데,패,승,정규시즌
2012-05-20 17:00,사직,기아,4,6,롯데,패,승,정규시즌
2012-05-22 18:30,대구,롯데,1,5,삼성,패,승,정규시즌
2012-05-23 18:30,대구,롯데,4,3,삼성,승,패,정규시즌
2012-05-24 18:20,대구,롯데,2,7,삼성,패,승,정규시즌
2012-05-25 18:30,잠실,롯데,8,4,두산,승,패,정규시즌
2012-05-26 17:00,잠실,롯데,6,1,두산,승,패,정규시즌
2012-05-27 17:00,잠실,롯데,7,1,두산,승,패,정규시즌
2012-05-29 18:30,사직,LG,5,3,롯데,승,패,정규시즌
2012-05-30 18:30,사직,LG,2,3,롯데,패,승,정규시즌
2012-05-31 18:30,사직,LG,3,1,롯데,승,패,정규시즌
2012-06-01 18:30,사직,넥센,3,7,롯데,패,승,정규시즌
2012-06-02 17:00,사직,넥센,0,8,롯데,패,승,정규시즌
2012-06-03 17:00,사직,넥센,4,3,롯데,승,패,정규시즌
2012-06-05 18:30,대전,롯데,2,8,한화,패,승,정규시즌
2012-06-06 14:00,대전,롯데,2,3,한화,패,승,정규시즌
